Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
Residential,14260.713425567177,66,1,20.77,Weekend,1895.7201637636035
Industrial,50307.81138545916,20,37,33.31,Weekend,5547.030827289291
Commercial,8354.91792149383,98,45,18.19,Weekday,4148.066626872942
Industrial,17169.050456195815,17,2,31.5,Weekend,3029.7322309965734
Residential,49469.608312764314,55,45,23.86,Weekday,4657.346376955399
Commercial,3204.551196460047,27,13,17.65,Weekend,2720.6617111676633
Industrial,32004.160619313727,88,31,21.87,Weekend,5521.76285663081
Industrial,38092.32368225548,38,35,20.22,Weekday,5143.927036745148
Residential,20351.6631083406,18,37,31.43,Weekday,4110.536618485303
Industrial,46013.85316304125,2,18,27.43,Weekend,5361.405456468783
Residential,16861.47786860725,72,27,15.1,Weekend,3152.613759489203
Industrial,33006.9310883457,15,4,33.67,Weekend,4622.462145690402
Residential,17827.856020677755,51,16,22.81,Weekend,4262.794072689569
Industrial,45708.08953904171,52,11,20.78,Weekend,5316.542896070768
Commercial,16206.499223639528,14,38,18.39,Weekday,3386.050105160379
Residential,34592.93175397749,88,47,28.41,Weekday,4559.427864789151
Industrial,22739.479759635098,97,12,14.15,Weekend,3942.4718865608784
Residential,6876.29168957763,63,35,17.94,Weekday,2850.826378987864
Commercial,50514.77184678928,39,1,30.88,Weekday,4101.529575347053
Commercial,18087.836298091137,10,35,25.87,Weekday,3466.666213098799
Commercial,40140.796879734786,67,9,21.08,Weekend,4156.363006990097
Industrial,19647.96480921706,29,14,33.52,Weekday,4352.554432037648
Commercial,1240.4180266098479,4,34,22.51,Weekday,2536.3738166064327
Residential,30322.825853028386,97,23,20.52,Weekend,4291.543980099956
Industrial,39110.65769149618,29,26,15.49,Weekday,5439.265386148362
Residential,10382.511232415283,12,27,29.52,Weekday,3546.7211912283833
Residential,3576.954919656173,49,34,22.35,Weekend,3352.9400971406067
Commercial,23987.083653795024,34,26,14.98,Weekday,3838.133079612004
Commercial,18176.850408534247,11,40,11.06,Weekend,3249.8071527163515
Residential,34460.48026672982,90,26,23.91,Weekday,4815.449504477401
Commercial,52667.21450457371,78,12,32.66,Weekday,5057.754829053029
Industrial,5511.421289041204,22,37,19.58,Weekend,3334.6656712800063
Residential,41442.01780770774,37,17,20.4,Weekend,4019.6982998677313
Commercial,22220.620215773914,82,22,14.12,Weekend,4725.087128333938
Industrial,45136.47735409622,55,1,22.99,Weekday,5472.611521179972
Residential,48956.39696018505,5,30,32.29,Weekday,3603.2679264250824
Commercial,31165.13331012088,90,14,13.13,Weekend,5216.515777204689
Commercial,31130.17149229024,96,37,20.06,Weekend,4922.900118788768
Commercial,30048.42060879947,37,49,33.14,Weekday,4538.364268242023
Industrial,38455.081748938384,5,41,29.42,Weekend,4910.681452141992
Residential,38883.9956305273,63,24,33.71,Weekday,4229.996418727791
Industrial,14279.866623944545,11,4,21.49,Weekend,2632.0981986816164
Industrial,7.369594283904689,11,29,19.96,Weekday,3175.136605264867
Residential,5913.237443926121,2,47,11.58,Weekend,3679.0143138715675
Commercial,44994.585610264585,22,2,16.32,Weekend,4524.2015584500095
Residential,0.0,70,41,19.04,Weekday,3016.3103907363065
Residential,49070.14685478936,30,3,27.65,Weekday,3818.1321255114017
Industrial,35693.27723125581,10,11,19.06,Weekend,4613.849669898882
Residential,15703.61306867706,30,36,18.33,Weekday,3270.059336850234
Industrial,47903.118932912876,45,45,15.8,Weekend,6346.942997344322
Industrial,13453.60207586809,21,28,17.38,Weekend,4013.6730709717513
Commercial,35018.721820081104,32,38,30.26,Weekend,5212.754282390451
Industrial,42271.264975440645,58,21,26.4,Weekday,6242.184110339492
Residential,27803.169487350424,11,12,14.63,Weekend,2838.7199096452596
Residential,8193.006158008388,43,47,20.27,Weekday,3571.1658688114076
Residential,8758.083818315028,79,40,25.83,Weekend,3910.130165794026
Residential,31969.617245852114,42,5,31.62,Weekend,2801.8782539070326
Industrial,37723.68232406577,5,39,15.27,Weekend,4968.417440886921
Commercial,20882.123079055484,3,1,28.49,Weekend,2567.5490055561245
Residential,4250.516356737342,10,32,22.76,Weekday,2189.8447648087413
Commercial,28454.613841913528,70,36,15.27,Weekend,4670.683232342921
Industrial,21038.934623602894,88,42,31.58,Weekend,5190.100968705527
Industrial,40647.665824226664,31,37,20.24,Weekday,5881.70545768147
Industrial,20647.28953191907,9,13,29.07,Weekday,3996.3332595828892
Commercial,17381.95773528373,46,3,21.1,Weekday,3020.531956084316
Industrial,17943.345242492447,60,45,22.82,Weekend,4540.842445071365
Residential,7140.947195707552,98,46,18.82,Weekday,4323.753171210506
Residential,0.0,16,10,26.17,Weekend,2186.996553931618
Commercial,8066.854147091467,63,31,13.89,Weekend,3734.452477775681
Residential,42995.52855753924,63,6,24.99,Weekend,3820.3270864345545
Commercial,36528.148876953645,58,35,13.49,Weekend,5319.982683462356
Residential,31837.52939462292,96,32,32.11,Weekend,4841.250782148963
Commercial,24438.460070408433,31,11,25.59,Weekday,3657.4750527281744
Residential,2724.0564187296063,43,17,31.12,Weekend,2442.985620697672
Residential,25054.286815611737,92,8,13.46,Weekday,3287.5344365184674
Residential,25795.22571758211,7,37,13.91,Weekday,3201.546869446191
Residential,5834.214349025884,19,7,33.47,Weekday,2270.0514807594386
Commercial,24258.65662939672,72,4,14.08,Weekday,3501.6896008604076
Residential,16508.12004489689,20,33,13.16,Weekday,2577.0328837095553
Residential,20137.16724934212,49,9,20.74,Weekday,3298.8165435997585
Commercial,32293.04857670323,54,28,17.07,Weekend,4723.05990674654
Residential,43115.93525049494,60,13,18.44,Weekday,5018.309195394941
Residential,24498.036023464723,16,19,28.69,Weekday,3214.825074662099
Residential,21903.854846174192,73,42,31.2,Weekday,2513.13835791362
Industrial,19146.527209650678,17,3,20.72,Weekend,3058.3590520446883
Residential,26252.59046785224,72,28,16.73,Weekday,4781.739529438249
Commercial,21116.756964853907,96,25,30.45,Weekday,4407.335735415077
Commercial,45398.708380312164,21,33,28.63,Weekday,4771.190943537274
Residential,37332.83196956817,19,17,29.9,Weekend,3634.2217560155823
Residential,18331.813139211998,57,4,16.0,Weekday,3603.7578308255693
Residential,33880.66870354782,42,46,33.41,Weekend,3807.1650689982725
Industrial,3953.7508678622407,9,45,26.94,Weekday,4064.858944395776
Industrial,24673.018630996517,60,19,26.02,Weekday,4652.4541211909855
Residential,34323.86179540159,74,48,29.06,Weekend,4679.860416855883
Industrial,53395.003070152205,86,23,18.9,Weekend,6131.473863976274
Residential,50370.03947721299,10,35,29.67,Weekday,4228.2970377034735
Residential,17741.76852079449,50,46,29.34,Weekday,3095.7322434142125
Residential,23512.645957862293,60,42,20.2,Weekday,4104.604255545064
Commercial,16468.376567766365,66,37,28.67,Weekday,4582.873905191984
Industrial,13610.007909424374,93,4,25.21,Weekend,3393.1589070280215
Residential,10438.587765395372,90,49,17.05,Weekend,4484.3660324559
Industrial,0.0,34,45,23.29,Weekday,3606.369477061757
Commercial,6819.819814987455,85,8,24.61,Weekday,3452.595672554928
Residential,13962.281359231543,39,32,30.67,Weekday,2644.611371095589
Residential,31093.612794180284,24,2,24.28,Weekday,2154.6238797351944
Commercial,18915.75710437853,48,14,12.46,Weekend,3335.4025340173334
Commercial,7814.499827810925,1,18,24.76,Weekday,2444.3176500034283
Residential,27558.61385861018,21,8,13.77,Weekday,3409.0763634425903
Industrial,46418.687020098805,63,37,32.14,Weekend,6017.45703782856
Industrial,62807.547441466595,85,9,14.35,Weekday,6725.651198868877
Commercial,39583.76194168426,47,21,27.7,Weekend,4369.381476851732
Commercial,37813.48942240653,2,33,30.43,Weekend,4169.96908039535
Industrial,19885.823027822375,74,29,11.39,Weekend,4982.353177795597
Residential,51638.08243812395,33,8,28.35,Weekend,3896.6351319479995
Commercial,10445.940507935939,20,18,32.04,Weekend,2955.9012835442763
Industrial,41234.206723907926,55,48,25.1,Weekend,5962.876287725952
Commercial,23033.017677993128,67,38,21.08,Weekend,3635.659079393289
Commercial,26530.76109150958,95,32,16.24,Weekday,4628.940818602975
Industrial,16156.442336639037,32,5,17.67,Weekend,2853.6850162823375
Residential,52410.03866995647,30,32,25.49,Weekend,4238.694079365161
Residential,53849.19356806816,84,6,20.48,Weekend,5085.742600467592
Commercial,19019.241985535464,8,24,30.91,Weekend,3062.7853438402553
Commercial,23572.442394170146,32,19,23.55,Weekday,3547.3559322420942
Industrial,37793.442316494824,47,45,25.14,Weekday,6178.118722141992
Commercial,36409.26863593273,19,37,24.33,Weekend,4172.285929049919
Commercial,16230.931057117992,87,34,15.2,Weekday,5135.3730129627465
Residential,31317.39971311418,74,30,30.45,Weekend,4201.683353964522
Commercial,30559.67258343796,36,8,12.75,Weekend,5308.328316970173
Commercial,37099.47681203328,3,3,32.11,Weekday,3133.624378549989
Commercial,0.0,20,35,27.42,Weekday,3728.8573662711115
Industrial,24311.120944843937,36,45,25.43,Weekend,5332.174114670859
Industrial,0.0,44,24,16.79,Weekday,3589.9240022522567
Commercial,33717.69962999502,94,38,16.96,Weekend,5286.817988221679
Commercial,0.0,69,16,12.36,Weekday,3051.0244342794417
Residential,36392.2515846827,47,48,28.79,Weekend,3255.7826354164163
Residential,22966.32877271568,35,5,31.08,Weekend,2909.5943691878815
Commercial,28260.77607748524,98,5,12.47,Weekday,4895.495250194392
Industrial,24958.864178961278,21,35,31.59,Weekday,4263.208538359066
Industrial,9822.706856389048,70,24,31.32,Weekend,2760.0185275495096
Residential,16773.650670672603,8,18,32.12,Weekend,2074.4242369181607
Industrial,26779.756234805267,75,15,23.3,Weekday,4895.108610533062
Commercial,29868.687977851,45,23,29.86,Weekday,4745.034091721527
Residential,25753.520940977745,94,17,11.66,Weekend,4396.249701313126
Commercial,21289.86443009528,83,29,31.85,Weekend,4228.78755998141
Commercial,21807.003778553084,21,35,27.24,Weekday,4155.877331306217
Commercial,13821.4521815607,21,40,27.75,Weekday,2684.667562718026
Residential,14278.886350898596,15,34,10.25,Weekend,3125.1331364448065
Residential,0.0,30,18,10.51,Weekday,2732.267353915318
Commercial,41039.457535179194,77,11,12.22,Weekday,5104.94954411942
Residential,34814.698303452155,62,38,30.82,Weekday,4906.544679332764
Commercial,23545.34440527367,94,14,28.28,Weekday,5385.455708235149
Industrial,16702.679833336915,95,10,33.51,Weekday,4835.937690733383
Residential,43297.04353156783,23,44,25.48,Weekend,4454.1077696141
Industrial,0.0,67,37,21.23,Weekday,4315.396035017642
Residential,18461.908018826645,9,1,34.06,Weekday,2663.406154978693
Commercial,3169.9447488976384,85,4,22.85,Weekend,3181.019752583753
Industrial,44692.28196727237,44,22,30.32,Weekend,5805.7944084710625
Commercial,23325.426735400702,38,24,23.33,Weekday,3400.590671875561
Commercial,13236.83231628572,21,9,21.56,Weekend,2387.780463899312
Commercial,18663.873441040025,18,9,15.93,Weekend,3430.9194971771703
Industrial,4245.736109723388,80,41,20.69,Weekend,4869.931458534043
Residential,534.2188919232169,65,46,20.94,Weekday,3364.4206224964396
Residential,5179.309770121936,60,46,24.71,Weekend,3345.251620732749
Industrial,33664.54738306756,82,30,21.74,Weekend,5344.726279728711
Commercial,5596.64600906802,39,6,16.24,Weekend,3383.1207495097433
Commercial,42628.23082026119,60,9,28.82,Weekday,4456.26473846683
Industrial,46658.621322403036,46,12,20.46,Weekend,4874.147786726241
Residential,59789.484318201896,54,27,17.78,Weekday,5317.938539055461
Industrial,44975.85836140102,69,44,15.67,Weekday,6417.625580956547
Industrial,25558.70206793257,86,28,16.18,Weekday,5960.8381061589025
Commercial,2667.4109897099297,49,26,30.56,Weekend,2871.432769397564
Residential,9736.486674116015,52,11,29.55,Weekend,2706.1551182529192
Residential,29115.315352978057,35,1,23.3,Weekend,2512.876721253436
Residential,6820.914325027666,68,44,23.95,Weekend,3762.5996269855655
Industrial,11725.566112232074,7,22,14.67,Weekend,3682.9427372419213
Commercial,44952.56671972076,88,20,32.18,Weekday,5642.489770557177
Residential,7700.268833818241,67,37,16.48,Weekend,3577.2515858503266
Commercial,9725.78968210315,57,11,31.4,Weekend,3304.01846382517
